timestamp,username,scenario,temperature,max_tokens,tab,model,prompt_technique,response,token_count,prompt
2025-03-21 03:24:46,,📱 Mobile Security Policy,1.0,300,Prompt Comparison,llama3-70b-8192,Zero Shot,NO,1,
2025-03-21 03:24:46,,📱 Mobile Security Policy,1.0,300,Model Comparison,llama3-70b-8192,Zero Shot,NO,1,
2025-03-21 07:51:41,,📱 Mobile Security Policy,1.0,300,Prompt Comparison,llama3-70b-8192,Zero Shot,NO,1,
2025-03-21 07:58:52,AIBT1,📱 Mobile Security Policy,1.0,300,Prompt Comparison,llama3-70b-8192,Zero Shot,NO,1,
2025-03-21 08:14:36,,📱 Mobile Security Policy,1.0,300,Prompt Comparison,llama3-70b-8192,Zero Shot,NO,1,Question: I have a Nokia 2017 that I want to use as a personal device and connect to university devices. Would using this device violate the mobile-device policy? Please give me a yes or no answer.
2025-03-21 08:14:36,,📱 Mobile Security Policy,1.0,300,Prompt Comparison,llama3-70b-8192,Zero Shot,NO,1,Question: I have a Nokia 2017 that I want to use as a personal device and connect to university devices. Would using this device violate the mobile-device policy? Please give me a yes or no answer.
2025-03-21 08:14:36,,📱 Mobile Security Policy,1.0,300,Prompt Comparison,llama3-70b-8192,Zero Shot,NO,1,Question: I have a Nokia 2017 that I want to use as a personal device and connect to university devices. Would using this device violate the mobile-device policy? Please give me a yes or no answer.
2025-03-21 08:14:37,,📱 Mobile Security Policy,1.0,300,Prompt Comparison,llama3-70b-8192,Zero Shot,NO,1,Question: I have a Nokia 2017 that I want to use as a personal device and connect to university devices. Would using this device violate the mobile-device policy? Please give me a yes or no answer.
2025-03-21 08:14:37,,📱 Mobile Security Policy,1.0,300,Model Comparison,llama3-70b-8192,Zero Shot,No,1,Question: I have a Nokia 2017 that I want to use as a personal device and connect to university devices. Would using this device violate the mobile-device policy? Please give me a yes or no answer.
2025-03-21 08:14:37,,📱 Mobile Security Policy,1.0,300,Prompt Comparison,llama3-70b-8192,Zero Shot,NO,1,Question: I have a Nokia 2017 that I want to use as a personal device and connect to university devices. Would using this device violate the mobile-device policy? Please give me a yes or no answer.
2025-03-21 08:14:37,,📱 Mobile Security Policy,1.0,300,Model Comparison,llama3-70b-8192,Zero Shot,No,1,Question: I have a Nokia 2017 that I want to use as a personal device and connect to university devices. Would using this device violate the mobile-device policy? Please give me a yes or no answer.
2025-03-21 08:14:37,,📱 Mobile Security Policy,1.0,300,Prompt Comparison,llama3-70b-8192,Zero Shot,NO,1,Question: I have a Nokia 2017 that I want to use as a personal device and connect to university devices. Would using this device violate the mobile-device policy? Please give me a yes or no answer.
2025-03-21 08:14:37,,📱 Mobile Security Policy,1.0,300,Model Comparison,llama3-70b-8192,Zero Shot,No,1,Question: I have a Nokia 2017 that I want to use as a personal device and connect to university devices. Would using this device violate the mobile-device policy? Please give me a yes or no answer.
2025-03-21 08:14:37,,📱 Mobile Security Policy,1.0,300,Prompt Comparison,llama3-70b-8192,Zero Shot,NO,1,Question: I have a Nokia 2017 that I want to use as a personal device and connect to university devices. Would using this device violate the mobile-device policy? Please give me a yes or no answer.
2025-03-21 08:14:37,,📱 Mobile Security Policy,1.0,300,Model Comparison,llama3-70b-8192,Zero Shot,No,1,Question: I have a Nokia 2017 that I want to use as a personal device and connect to university devices. Would using this device violate the mobile-device policy? Please give me a yes or no answer.
